Name;Latitude;Longitude
Municipio Roma XV;42.0150975;12.440639470857
Municipio Roma XIV;41.97108225;12.3358264473108
Municipio Roma XIII;41.92310705;12.3299933675849
Municipio Roma XII;41.87240215;12.3607753692246
Municipio Roma XI;41.8339986;12.3693121713317
Municipio Roma X;41.73060535;12.3511342475708
Municipio Roma IX;41.76428555;12.5111172868043
Municipio Roma VIII;41.82329695;12.5412126292719
Municipio Roma VII;41.8407847;12.5853706028821
Municipio Roma VI;41.86929125;12.6336798751079
Municipio Roma V;41.89431225;12.5739319672652
Municipio Roma IV;41.9329721;12.5971074689501
Municipio Roma III;42.00192065;12.5559016700172
Municipio Roma II;41.91748605;12.4993187431835
Municipio Roma I;41.90291525;12.4825364872508
